artist_id,artist_name,purpose_premium_pack
0LyfQWJT6nXafLPZqxe9Of,Various Artists,False
2NjfBq1NflQcKSeiDooVjY,Tones And I,False
0vRvGUQVUjytro0xpb26bs,Arizona Zervas,False
52gTrzyF0DyfkFl1DQz9Oq,Music Hero,False
7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,False
3PDFGpPl4ienSn5Vwisfrh,Flow G,False
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,False
4qFxP3qN9GsnZDOkAE6x2m,December Avenue,False
4vxaQs6vK54nK89J1VtLex,PUBLIC,False
7dxr6AabRWhsfYRyVJlErK,MC Einstein,False
0imE3buPhAowREqCrr4CYe,Peach Tree Rascals,False
0iqkVK6sTXi7DZWWOeKy8Q,PDL,False
2EGJbNf0Hva2C2N6hvhMXD,Soulstice,False
6ZdzYE3CEgY0Umgi3Dsgv8,Michael Dutchi Libranda,False
1z4g3DjTBBZKhvAroFlhOM,Red Velvet,False
49tQo2QULno7gxHutgccqF,LANY,False
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,False
0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,False
7n2Ycct7Beij7Dj7meI4X0,TWICE,False
6LuN9FCkKOj5PcnpouEgny,Khalid,False
2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,False
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,False
3SgHzT552wy2W8pNLaLk24,Hillsong Worship,False
7374lH6kwx9uQATYQ9H3Cp,Eraserheads,False
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,False
7CQwac16i1W5ej8YpuL3dv,Boyce Avenue,False
3MZsBdqDrRTJihTHQrO6Dq,Joji,False
2kxP07DLgs4xlWz8YHlvfh,NIKI,False
117XFtbZPnCI1EYKjYZWJc,Skusta Clee,False
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,False
6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,False
4nGp682WMiKS4X217kPw8C,Silent Sanctuary,False
4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,False
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,False
5Z1CCuBsyhEHngq3U5IraY,Westlife,False
7dGJo4pcD2V6oG8kP0tJRR,Eminem,False
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,False
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,False
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,False
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,False
718COspgdWOnwOFpJHRZHS,Luke Combs,False
7dlqUnjoF2U2DkNDMhcgG4,Hilltop Hoods,False
6vWDO969PvNqNYHIOW5v0m,Beyoncé,False
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,False
6nxWCVXbOlEVRexSbLsTer,Flume,False
2JY5qzEozvTdogkDTkkOMf,The Wiggles,False
1dfeR4HaWDbWqFHLkxsg1d,Queen,False
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,False
1KCSPY1glIKqW2TotWuXOR,P!nk,False
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,False
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,False
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,False
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,False
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,False
34PBD4UZEgCAtU1W1qfKKl,Render Sisters,False
5Zq7R5qmi58ByYyBQTlNuk,Lee Brice,False
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,False
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,False
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,False
147nKr9upHZSSxqCzh9j7c,Jimmie Allen,False
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,False
4SbuhLih8eWLmqFzzmM3AK,HIXTAPE,False
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,False
31n3CN1jSC5ALUJ9dwT8UI,Kameron Marlowe,False
0Z8XVUAOBPM4x12wKnFHEQ,Parker McCollum,False
0u2FHSq3ln94y5Q57xazwf,Keith Urban,False
4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,False
2dZ1l4hWgtbMS0N5T9Oalb,Sean Stemaly,False
0fiWOxhsBsQQvFDtxUQWo0,Brett Young,False
4Uux6BdaCNrVFQ0bqGRtfh,Randall King,False
4MPkNgar5uTd8Sqvrr7par,Clay Walker,False
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,False
2pSObt5Fk8izuX8ZfI3jRn,Upchurch,False
7sbOsWFihW9UdQl6TJYY9H,Titus Glenn,False
5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,False
1n2pb9Tsfe4SwAjmUac6YT,Jake Owen,False
6nXco5Q3cJJ0ZutnBOsSpq,MacKenzie Porter,False
0LEr7kyROjp7nKLWGSReLl,Jennifer Smestad,False
34bhyY8jfKez7uKakMfy4y,Maddie & Tae,False
0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,False
0ryF1Gy87xVCOF0Jb666ak,Dean Brody,False
4TshyQDihSYXSWqvclXl3I,Parmalee,False
32WkQRZEVKSzVAAYqukAEA,Lady A,False
03UZwtrCiMR9P10LcjQ5Wu,Creed Fisher,False
1E2AEtxaFaJtH0lO7kgNKw,Russell Dickerson,False
1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch,False
5QNm7E7RU2m64l6Gliu8Oy,HARDY,False
5WRElKaZsn1tGnrgmJVAeO,Cam,False
1dIS2M2CNnqd2ks8Okqi7A,Gone West,False
1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,False
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,False
7JZafQsN8syJ9agEtcyP4V,Shy Carter,False
7tje8UB3cuR1ZfeJx2U38T,Logan Mize,False
3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,False
4sIl4BTo9l9KqEi0Y3RE72,Carly Pearce,False
371jpyGdoChzUASOIG2ECV,Ashley McBryde,False
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,False
68abRTdO4meYReMWHvBYb0,Chris Lane,False
6yJCxee7QumYr820xdIsjo,Zac Brown Band,False
5dMnvpYEfXvSexjwnSRH5n,RaeLynn,False
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,False
6jncnjvxMwbLIEYDhwsGlu,Raffa Torres,False
6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,False
06cd30Cv9US973Ika84gDw,Lucas Lucco,False
7M83IzPXGA4ClZJ5reW2Ro,Douglas & Vinicius,False
4FUMTycjZlEY6ZxMgqNjC8,Tierry,False
1AL2GKpmRrKXkYIcASuRFa,Wesley Safadão,False
